room,days,times,start_time,end_time,class_type
140,MW,1530 - 1645,1530,1645,75
140,MW,1700 - 1815,1700,1815,75
150,MW,0930 - 1045,930,1045,75
150,MW,1100 - 1215,1100,1215,75
160,MW,1700 - 1815,1700,1815,75
160,MW,1400 - 1515,1400,1515,75
160,MW,1530 - 1645,1530,1645,75
155,MW,1530 - 1645,1530,1645,75
155,MW,1230 - 1345,1230,1345,75
145,MW,1400 - 1515,1400,1515,75
155,MW,1100 - 1215,1100,1215,75
260,M,1700 - 1750,1700,1750,50
145,MW,1530 - 1645,1530,1645,75
230,MW,1400 - 1515,1400,1515,75
230,MW,1530 - 1645,1530,1645,75
230,MW,1700 - 1815,1700,1815,75
140,MW,1230 - 1345,1230,1345,75
140,MW,1400 - 1515,1400,1515,75
150,MW,1700 - 1815,1700,1815,75
145,MW,0930 - 1045,930,1045,75
145,MW,1100 - 1215,1100,1215,75
145,MW,1230 - 1345,1230,1345,75
240,MW,0930 - 1045,930,1045,75
240,MW,1100 - 1215,1100,1215,75
240,MW,1230 - 1345,1230,1345,75
140,MW,0800 - 0915,800,915,75
140,MW,0930 - 1045,930,1045,75
140,MW,1100 - 1215,1100,1215,75
155,MW,0930 - 1045,930,1045,75
160,MW,1100 - 1215,1100,1215,75
160,MW,1230 - 1345,1230,1345,75
155,MW,1400 - 1515,1400,1515,75
150,MW,1300 - 1350,1300,1350,50
130,MW,1230 - 1345,1230,1345,75
130,MW,1400 - 1515,1400,1515,75
130,MW,1530 - 1645,1530,1645,75
240,MW,1400 - 1515,1400,1515,75
230,MW,0930 - 1045,930,1045,75
230,MW,1100 - 1215,1100,1215,75
230,MW,1230 - 1345,1230,1345,75
150,MW,1400 - 1515,1400,1515,75
150,MW,1530 - 1645,1530,1645,75
130,MW,0800 - 0915,800,915,75
130,MW,0930 - 1045,930,1045,75
130,MW,1100 - 1215,1100,1215,75
